Apple,Orange,Banana,,,
Apple,Banana,,,,
Apple,Orange,Cantaloupe,Peach,,
Orange,Banana,Avocado,Cantaloupe,,
Cantaloupe,Avocado,Peach,Orange,,
Cantaloupe,Peach,Headphne,Banana,Avocado,
Cantaloupe,Avocado,Peach,,,
Cantaloupe,Apple,Avocado,Peach,,
Apple,Orange,Peach,Banana,,
Banana,Cantaloupe,Peach,Orange,Apple,
Banana,Avocado,Orange,Apple,,
Orange,Cantaloupe,Peach,Apple,,
Banana,Peach,Cantaloupe,Orange,Avocado,
Avocado,Peach,Avocado,Cantaloupe,Apple,Banana
Banana,Orange,Blueberry,Cantaloupe,Banana,Apple
Cantaloupe,Peach,Strawberry,Avocado,,
Apple,Banana,Avocado,Orange,,
Cantaloupe,Banana,Peach,Avocado,,
Peach,Cantaloupe,Cherry,Pasta,,
Banana,Orange,Banana,Cherry,Apple,
