Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
mineral water,eggs,chicken,chocolate,french fries,,,,,
soup,avocado,french fries,hotdogs,brownies,body spray,,,,
burgers,honey,green tea,,,,,,,
spaghetti,chocolate,brownies,red wine,green tea,,,,,
salmon,mineral water,eggs,,,,,,,
shrimp,pasta,mineral water,eggs,,,,,,
burgers,oil,honey,fresh bread,,,,,,
red wine,eggs,chocolate,turkey,,,,,,
chicken,eggs,french fries,pancakes,,,,,,
tomatoes,spaghetti,fresh bread,,,,,,,
ground beef,spaghetti,milk,,,,,,,
turkey,tomatoes,cake,,,,,,,
yams,mineral water,soup,milk,pancakes,avocado,hotdogs,,,
tomatoes,ground beef,salmon,pancakes,red wine,,,,,
ground beef,yams,chocolate,oil,eggs,,,,,
shrimp,salmon,eggs,cookies,hotdogs,,,,,
magazines,cake,,,,,,,,
turkey,mineral water,eggs,oil,body spray,,,,,
turkey,ground beef,avocado,spaghetti,honey,cookies,,,,
chocolate,red wine,tomatoes,oil,yams,french fries,cookies,salt,fresh bread,magazines
