Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
honey,milk,magazines,turkey,chocolate,pasta,,,,
cake,salmon,tomatoes,spaghetti,eggs,green tea,burgers,fresh bread,french fries,salmon
chocolate,brownies,eggs,milk,oil,pasta,,,,
shrimp,soup,honey,hotdogs,tomatoes,turkey,,,,
body spray,burgers,cake,ground beef,oil,mineral water,french fries,chocolate,,
spaghetti,tomatoes,fresh bread,honey,hotdogs,shrimp,turkey,pasta,,
red wine,yams,salt,ground beef,burgers,pasta,,,,
cookies,chocolate,cake,eggs,magazines,mineral water,,,,
mineral water,magazines,yams,fresh bread,avocado,body spray,hotdogs,honey,oil,
ground beef,fresh bread,salmon,salt,green tea,tomatoes,spaghetti,oil,chicken,pancakes
turkey,brownies,eggs,shrimp,yams,red wine,chocolate,avocado,magazines,chicken
cookies,brownies,mineral water,red wine,salt,spaghetti,tomatoes,,,
honey,milk,mineral water,salmon,tomatoes,,,,,
eggs,avocado,burgers,ground beef,hotdogs,,,,,
salt,soup,tomatoes,chicken,pasta,,,,,
ground beef,burgers,salmon,mineral water,hotdogs,turkey,yams,red wine,pasta,
pancakes,oil,milk,cake,brownies,yams,,,,
brownies,avocado,green tea,fresh bread,body spray,,,,,
french fries,oil,body spray,red wine,tomatoes,honey,pasta,,,
turkey,red wine,mineral water,salmon,ground beef,body spray,magazines,pasta,,
