Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
chocolate,cookies,milk,pancakes,brownies,pasta,tomatoes,spaghetti,avocado,honey
green tea,honey,magazines,fresh bread,ground beef,avocado,yams,,,
shrimp,chicken,ground beef,hotdogs,avocado,turkey,mineral water,body spray,yams,cake
french fries,yams,spaghetti,green tea,tomatoes,red wine,,,,
pasta,tomatoes,spaghetti,cookies,eggs,green tea,salt,french fries,soup,salmon
soup,magazines,burgers,fresh bread,ground beef,eggs,,,,
body spray,cake,honey,burgers,fresh bread,ground beef,honey,salmon,,
fresh bread,shrimp,chicken,pancakes,chocolate,cookies,milk,brownies,hotdogs,
eggs,chocolate,oil,burgers,cake,,,,,
yams,hotdogs,eggs,honey,chicken,chocolate,cake,,,
salt,chocolate,cookies,milk,pancakes,brownies,cookies,eggs,magazines,red wine
green tea,yams,french fries,cookies,eggs,,,,,
french fries,honey,eggs,cake,avocado,hotdogs,oil,pasta,tomatoes,spaghetti
tomatoes,honey,green tea,cookies,eggs,red wine,salmon,,,
chocolate,cookies,milk,pancakes,brownies,french fries,ground beef,honey,magazines,soup
spaghetti,tomatoes,hotdogs,green tea,eggs,salmon,,,,
red wine,chocolate,cookies,milk,pancakes,brownies,avocado,turkey,oil,
yams,eggs,magazines,soup,body spray,chicken,,,,
pasta,tomatoes,spaghetti,soup,oil,chicken,magazines,red wine,,
magazines,ground beef,burgers,fresh bread,chocolate,cookies,milk,pancakes,brownies,
