Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
pancakes,brownies,mineral water,salmon,shrimp,soup,red wine,,,
ground beef,eggs,green tea,chicken,milk,magazines,french fries,avocado,,
burgers,body spray,salmon,mineral water,chicken,magazines,,,,
ground beef,pancakes,brownies,eggs,soup,red wine,,,,
mineral water,salmon,green tea,cookies,french fries,avocado,,,,
brownies,burgers,milk,shrimp,magazines,soup,,,,
brownies,cake,chicken,honey,french fries,red wine,,,,
tomatoes,spaghetti,pasta,burgers,eggs,red wine,,,,
pancakes,brownies,chicken,milk,cookies,burgers,soup,,,
tomatoes,spaghetti,pasta,milk,shrimp,avocado,,,,
oil,salmon,eggs,burgers,honey,red wine,,,,
yams,cake,pancakes,brownies,oil,french fries,avocado,,,
tomatoes,ground beef,body spray,eggs,chicken,cookies,soup,mineral water,,
hotdogs,pancakes,brownies,cake,ground beef,salt,body spray,eggs,milk,
oil,spaghetti,salmon,mineral water,chicken,burgers,shrimp,,,
brownies,spaghetti,pasta,green tea,milk,shrimp,chicken,soup,,
tomatoes,spaghetti,eggs,pasta,mineral water,body spray,salmon,magazines,,
pancakes,brownies,cake,oil,chicken,body spray,green tea,french fries,red wine,
yams,honey,hotdogs,salmon,eggs,body spray,mineral water,honey,burgers,soup
pancakes,brownies,cake,burgers,body spray,yams,green tea,milk,avocado,soup
